Token,Item Name,Description,Category,GTIN,SKU,Variation Name,Unit and Precision,Price,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Basic Bee,New Quantity Basic Bee,Stock Alert Enabled Basic Bee,Stock Alert Count Basic Bee,Tax - Michigan Sales Tax (6%)
IRBFZIHIDFYPNODAPQPQF3EJ,3 Chain Bracelet,"• Metal Chain Layered Toggle Bracelet<br />• Size : 0.5"" H, 7"" + 1"" L<br />• Toggle Closure<br /><br />",Accessories,,thing,Gold,,12.00,Metal,Gold,,,3.25,Wona Trading,,0,,,,Y
QFLMXXTGDGLL3IM7JSTG3NHC,3 Chain Bracelet,,Accessories,,thins,Silver,,12.00,Metal,Silver,,,3.25,Wona Trading,,1,,,,Y
5A3NRDVQAYBTEXTNYIEZA5MY,4 oz. Travel Candles,"Lemon and Lavender:  This scent is clean and inviting and combines notes of refreshing citrus and fresh lavender flowers.

Luxe:  This candle is masculine and feminine with a sweet, sultry fusion of creamy vanilla, musk, sandalwood, with a hint of jasmine, lavender and orange.

Peach & Ginger:  A soothing-yet-spicy blend of ginger and fresh Georgia cut peaches.

Weeknd:  This candle has a smooth, elegant blend of fresh orchids, calming notes of jasmine, citrus, musk and a hint of creamy vanilla.

White Tea:  This scent is pure luxury. It has notes of tender, new leaves of white tea, bergamot, jasmine, and a hint of ginger and lemon.

White Tea & Lavender:  This scent is pure luxury. It has notes of tender, new leaves of white tea, calming lavender, bergamot, jasmine, and a hint of ginger and lemon.",Gifts,,12vwt,White Tea,,18.00,12th and Viv,White Tea,,,9.47,12th and Viv,,1,,,,Y
GH44PYRNDSAL6DCOOSQ3QP57,4 oz. Travel Candles,,Gifts,,12vlx,Luxe,,18.00,12th and Viv,Luxe,,,9.47,12th and Viv,,1,,,,Y
SQK4D3PHNQP6XIJ4EQZF7L7M,4 oz. Travel Candles,,Gifts,,12vpg,Peach & Ginger,,18.00,12th and Viv,Peach & Ginger,,,9.47,12th and Viv,,1,,,,Y
HN55O2LY7SFXRPO4TIEKQPD3,4 oz. Travel Candles,,Gifts,,12vll,Lemon & Lavender,,18.00,12th and Viv,Lemon & Lavender,,,9.47,12th and Viv,,1,,,,Y
C6EYJTRD65DZ3MVHEO7AUIQQ,4 oz. Travel Candles,,Gifts,,12vwkn,Weeknd,,18.00,12th and Viv,Weeknd,,,9.47,12th and Viv,,1,,,,Y
FHOCHIUSX3KMJANXHR2DUW3Z,4 oz. Travel Candles,,Gifts,,12vwtl,White Tea & Lavender,,18.00,12th and Viv,White Tea & Lavender,,,9.47,12th and Viv,,1,,,,Y
YVG2EJQ7TNHRJ4JAJHE4LQT4,90's Zip Top,"Knit Half Zip Long Sleeve Waffle Top<br /><br />97% Cotton, 3% Spandex<br /><br />Model Wears Size Small",Tops,,803GS,"Grey, small",,36.00,Color,Grey,Size,small,18.00,Salty,,2,,,,Y
ZFDWBBV3C3YVMUFUSPCR4P37,90's Zip Top,,Tops,,803GM,"Grey, medium",,36.00,Color,Grey,Size,medium,18.00,Salty,,1,,,,Y
R2YQGOBJBMZHJJLIJZZ2VTUM,90's Zip Top,,Tops,,803GL,"Grey, large",,36.00,Color,Grey,Size,large,18.00,Salty,,0,,,,Y
KBXGXN34G3VDZBEUYLOFMXM6,90's Zip Top,,Tops,,803DS,"Denim, small",,36.00,Color,Denim,Size,small,18.00,Salty,,2,,,,Y
ICU6ARQ5X3VORPZ2XR2A5IYS,90's Zip Top,,Tops,,803DM,"Denim, medium",,36.00,Color,Denim,Size,medium,18.00,Salty,,2,,,,Y
GZBG44X3VKMZPIFOYB52BOZY,90's Zip Top,,Tops,,803DL,"Denim, large",,36.00,Color,Denim,Size,large,18.00,Salty,,1,,,,Y
DMOPVMX3MHCSEVCFTVYNRS7X,Abstract Hoops,,Accessories,,476463G,Gold,,14.00,Metal,Gold,,,4.75,Wona Trading,,0,,,,Y
ZO3W3YCAEGR4OO3G4IWI7MLT,Abstract Hoops,,Accessories,,476463S,Silver,,14.00,Metal,Silver,,,4.75,Wona Trading,,1,,,,Y
DSBCQ4ZQ3FSKBVDM6GOK5K46,Acetate Hair Clips,,Accessories,,RectG,Grey Rectange,,15.00,Clips,Grey Rectange,,,3.00,AliExpress,,1,,,,Y
OI5QWGC2RXIIQ26RQ33MJG3K,Acetate Hair Clips,,Accessories,,TriaG,Grey Triangle,,15.00,Clips,Grey Triangle,,,3.00,AliExpress,,1,,,,Y
VAFDSASRRMGN6VKIPHBI2M5C,Acetate Hair Clips,,Accessories,,RectB,Blue Rectangle,,15.00,Clips,Blue Rectangle,,,3.00,AliExpress,,1,,,,Y
TAJ6F3OI6T4FRI6XUGLBBUS5,Acetate Hair Clips,,Accessories,,TriaBL,Black Triangle,,15.00,Clips,Black Triangle,,,3.00,AliExpress,,1,,,,Y
ESOCDGVLHKFYBAIIWOPT773H,Acetate Hair Clips,,Accessories,,RectBL,Black Rectangle,,15.00,Clips,Black Rectangle,,,3.00,AliExpress,,1,,,,Y
3DMAWTUOW633II3JUULWXBIA,Acetate Hair Clips,,Accessories,,RectM,Multi Rectange,,15.00,Clips,Multi Rectange,,,3.00,AliExpress,,1,,,,Y
7YESNMIFJKN2IPADUZE6QFQG,Acetate Hair Clips,,Accessories,,TriaM,Multi Triangle,,15.00,Clips,Multi Triangle,,,3.00,AliExpress,,1,,,,Y
